物件名,所在地,最寄り駅,徒歩分,築年数,階数,間取り,面積,家賃,URL,築年数_num,面積_num,家賃_num,徒歩分_num,駅名
ラ・バレンシア,大分県大分市須賀２,大在駅,"ＪＲ日豊本線/大在駅 歩20分
ＪＲ日豊本線/鶴崎駅 バス7分 (バス停)須賀 歩7分
ＪＲ日豊本線/坂ノ市駅 バス14分 (バス停)須賀 歩7分",築19年,2階,1LDK,46.49m2,4.5万円,https://suumo.jp/chintai/jnc_000091501003/?bc=100407735466,19,46.49,4.5,20,大在駅
ＨＡＰＰＩＮＥＳＳ,大分県大分市大字森町,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩20分
ＪＲ日豊本線/高城駅 歩46分
ＪＲ日豊本線/大在駅 歩59分",築13年,3階,2LDK,60.97m2,6.1万円,https://suumo.jp/chintai/jnc_000050401566/?bc=100429268485,13,60.97,6.1,20,鶴崎駅
ミニョンガーデン,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩14分
ＪＲ日豊本線/大分駅 バス20分 (バス停)滝尾校区公民館前 歩5分",築9年,2階,1LDK,49.14m2,5.4万円,https://suumo.jp/chintai/jnc_000099390716/?bc=100413890657,9,49.14,5.4,14,滝尾駅
レジデンス片島I,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築30年,3階,3DK,66.22m2,5万円,https://suumo.jp/chintai/jnc_000099507557/?bc=100444358368,30,66.22,5.0,19,滝尾駅
オーセルII,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩8分,築16年,2階,2LDK,58.48m2,5.9万円,https://suumo.jp/chintai/jnc_000099292290/?bc=100436507794,16,58.48,5.9,8,滝尾駅
ミミヤヒル　Ｃ,大分県大分市大字猪野,高城駅,ＪＲ日豊本線/高城駅 バス15分 (バス停)猪野下 歩3分,築16年,2階,1LDK,37.13m2,4.35万円,https://suumo.jp/chintai/jnc_000099313219/?bc=100443192949,16,37.13,4.35,3,高城駅
ホームズ　コンフォールII,大分県大分市大字鶴崎,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 バス11分 (バス停)鶴崎駅前 歩7分
ＪＲ日豊本線/大分駅 バス27分 (バス停)鶴崎駅前 歩7分",築11年,2階,1K,30m2,4.5万円,https://suumo.jp/chintai/jnc_000098354780/?bc=100437399845,11,30.0,4.5,6,鶴崎駅
リバーサイドそれいゆI,大分県大分市大字下判田,中判田駅,ＪＲ豊肥本線/中判田駅 歩6分,築11年,2階,1LDK,50.12m2,5万円,https://suumo.jp/chintai/jnc_000099345138/?bc=100443411703,11,50.12,5.0,6,中判田駅
エスポワール（小池原）,大分県大分市大字小池原小池原,高城駅,ＪＲ日豊本線/高城駅 歩14分,築20年,2階,1LDK,40.29m2,4.9万円,https://suumo.jp/chintai/jnc_000097929351/?bc=100432609305,20,40.29,4.9,14,高城駅
サンヒルズ,大分県大分市里３,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩34分",築20年,2階,2DK,51.15m2,4.6万円,https://suumo.jp/chintai/jnc_000099361111/?bc=100411498593,20,51.15,4.6,18,坂ノ市駅
ラ　バレンシア２,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩23分,築10年,2階,1LDK,45.82m2,4.7万円,https://suumo.jp/chintai/jnc_000098168989/?bc=100405311156,10,45.82,4.7,23,坂ノ市駅
レイコート羽田,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩18分
ＪＲ久大本線/古国府駅 歩36分
ＪＲ日豊本線/牧駅 歩37分",築23年,3階,2LDK,63.91m2,5.8万円,https://suumo.jp/chintai/jnc_000099460841/?bc=100439639257,23,63.91,5.8,18,滝尾駅
コンセールＮＫ,大分県大分市三佐４,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩16分
ＪＲ日豊本線/高城駅 歩40分
ＪＲ日豊本線/大在駅 歩62分",築20年,8階,1LDK,43.81m2,4.8万円,https://suumo.jp/chintai/jnc_000096746650/?bc=100423849443,20,43.81,4.8,16,鶴崎駅
グランスイート,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩13分
ＪＲ久大本線/南大分駅 歩18分
ＪＲ日豊本線/大分駅 バス18分 (バス停)賀来入口 歩8分",築12年,2階,1LDK,46.55m2,5.35万円,https://suumo.jp/chintai/jnc_000099502741/?bc=100441805122,12,46.55,5.35,13,賀来駅
ラ・フィーネ弐番館,大分県大分市明磧町２,南大分駅,"ＪＲ久大本線/南大分駅 歩13分
ＪＲ久大本線/古国府駅 歩31分
ＪＲ久大本線/賀来駅 歩33分",築16年,8階,1LDK,37.5m2,5.3万円,https://suumo.jp/chintai/jnc_000057968830/?bc=100434416734,16,37.5,5.3,13,南大分駅
ユニゾンゑびす,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩5分,築18年,2階,2DK,46.49m2,4.3万円,https://suumo.jp/chintai/jnc_000098539230/?bc=100431059998,18,46.49,4.3,5,坂ノ市駅
ユーミー横田,大分県大分市横田２,大在駅,"ＪＲ日豊本線/大在駅 歩13分
ＪＲ日豊本線/坂ノ市駅 歩47分",築17年,3階,3DK,60.97m2,6.1万円,https://suumo.jp/chintai/jnc_000055552380/?bc=100434804771,17,60.97,6.1,13,大在駅
セジュール花みずき,大分県大分市大在北３,,-/大分バス　須賀 歩9分,築17年,2階,1LDK,38.3m2,4.6万円,https://suumo.jp/chintai/jnc_000099350367/?bc=100406089195,17,38.3,4.6,9,
エンジェル　スカイ,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ久大本線/賀来駅 バス4分 (バス停)中の瀬団地入口 歩2分
ＪＲ日豊本線/大分駅 バス18分 (バス停)中の瀬団地入口 歩2分",築13年,2階,1LDK,45.97m2,5.3万円,https://suumo.jp/chintai/jnc_000098046344/?bc=100423401227,13,45.97,5.3,12,南大分駅
ＪＲ日豊本線 牧駅 2階建 築16年,大分県大分市下郡北３,牧駅,ＪＲ日豊本線/牧駅 歩20分,築16年,2階,1LDK,42.37m2,5.6万円,https://suumo.jp/chintai/jnc_000099587455/?bc=100444807335,16,42.37,5.6,20,牧駅
メゾンローズ二番館,大分県大分市王ノ瀬２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩37分
ＪＲ日豊本線/幸崎駅 歩75分",築5年,2階,1LDK,50.42m2,5.35万円,https://suumo.jp/chintai/jnc_000099609247/?bc=100439357873,5,50.42,5.35,17,坂ノ市駅
コーリンエステートエビスI,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩7分,築14年,2階,2DK,45.39m2,4.35万円,https://suumo.jp/chintai/jnc_000098019292/?bc=100437399894,14,45.39,4.35,7,坂ノ市駅
フォルム・グレースＡ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩10分,築10年,2階,2DK,46.06m2,5.4万円,https://suumo.jp/chintai/jnc_000098850956/?bc=100440009760,10,46.06,5.4,10,滝尾駅
フィオーレはやし,大分県大分市城東町,高城駅,"ＪＲ日豊本線/高城駅 歩12分
ＪＲ日豊本線/牧駅 歩14分
ＪＲ日豊本線/鶴崎駅 歩55分",築6年,8階,1LDK,44.8m2,6万円,https://suumo.jp/chintai/jnc_000096408793/?bc=100421357886,6,44.8,6.0,12,高城駅
プリムローズIV,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩14分,築9年,2階,1LDK,45.13m2,5.5万円,https://suumo.jp/chintai/jnc_000098730209/?bc=100415051047,9,45.13,5.5,14,滝尾駅
グレイスＨＡＬ　Ｂ,大分県大分市大字津守,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩7分,築21年,2階,2LDK,51.67m2,5.4万円,https://suumo.jp/chintai/jnc_000097387843/?bc=100429806191,21,51.67,5.4,7,滝尾駅
コルシェーヌ,大分県大分市庄境,大在駅,ＪＲ日豊本線/大在駅 歩22分,築17年,2階,2LDK,57.13m2,5.6万円,https://suumo.jp/chintai/jnc_000027588809/?bc=100426272886,17,57.13,5.6,22,大在駅
マイ　キャッスル　新栄,大分県大分市新栄町,高城駅,"ＪＲ日豊本線/高城駅 歩13分
ＪＲ日豊本線/牧駅 歩18分
ＪＲ日豊本線/鶴崎駅 歩52分",築3年,2階,1K,32.25m2,4.85万円,https://suumo.jp/chintai/jnc_000091605103/?bc=100372800390,3,32.25,4.85,13,高城駅
パーソナルＹＨ,大分県大分市牧３,牧駅,"ＪＲ日豊本線/牧駅 歩9分
ＪＲ日豊本線/高城駅 歩16分",築6年,3階,1LDK,36m2,5.4万円,https://suumo.jp/chintai/jnc_000049842364/?bc=100441722287,6,36.0,5.4,9,牧駅
Flower Continue,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩9分
ＪＲ久大本線/賀来駅 歩30分
ＪＲ久大本線/古国府駅 歩36分",築4年,5階,1LDK,41.6m2,5.9万円,https://suumo.jp/chintai/jnc_000099369632/?bc=100443578382,4,41.6,5.9,9,南大分駅
キャッスル坂ノ市,大分県大分市坂ノ市中央１,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩6分
ＪＲ日豊本線/大在駅 歩40分
ＪＲ日豊本線/鶴崎駅 歩84分",築14年,,3LDK,76m2,6.8万円,https://suumo.jp/chintai/jnc_000097411141/?bc=100428405686,14,76.0,6.8,6,坂ノ市駅
メゾンドクレチュール,大分県大分市古国府４,古国府駅,ＪＲ久大本線/古国府駅 歩10分,築10年,8階,1DK,30.69m2,5万円,https://suumo.jp/chintai/jnc_000099390727/?bc=100443675256,10,30.69,5.0,10,古国府駅
レオパーク,大分県大分市角子南２,大在駅,ＪＲ日豊本線/大在駅 歩10分,築7年,2階,1LDK,52.38m2,5.35万円,https://suumo.jp/chintai/jnc_000099298355/?bc=100443055990,7,52.38,5.35,10,大在駅
ミレニアムＫＡＮ　II　Ａ棟,大分県大分市大字中戸次,中判田駅,ＪＲ豊肥本線/中判田駅 バス3分 (バス停)へつぎ病院前 歩5分,築26年,2階,2LDK,58.53m2,4.7万円,https://suumo.jp/chintai/jnc_000091930528/?bc=100443059822,26,58.53,4.7,5,中判田駅
セピアコート,大分県大分市角子原２,大在駅,ＪＲ日豊本線/大在駅 歩12分,築23年,2階,2DK,42.77m2,4.4万円,https://suumo.jp/chintai/jnc_000097937241/?bc=100432686866,23,42.77,4.4,12,大在駅
エアリ メゾンI,大分県大分市汐見１,大在駅,ＪＲ日豊本線/大在駅 歩18分,築18年,2階,1LDK,46.49m2,4.6万円,https://suumo.jp/chintai/jnc_000099200289/?bc=100436350188,18,46.49,4.6,18,大在駅
サンガーデン片島,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩12分,築28年,2階,2LDK,51.37m2,5.5万円,https://suumo.jp/chintai/jnc_000099481743/?bc=100444196766,28,51.37,5.5,12,滝尾駅
ルヴァンヴェール,大分県大分市大字永興,南大分駅,ＪＲ久大本線/南大分駅 歩16分,築6年,8階,1DK,30.02m2,5.2万円,https://suumo.jp/chintai/jnc_000099381379/?bc=100444628611,6,30.02,5.2,16,南大分駅
Ｐｒｏｍｅｎａｄｅ　Ｓ．Ｔ,大分県大分市賀来北１,賀来駅,"ＪＲ久大本線/賀来駅 歩12分
ＪＲ久大本線/南大分駅 歩18分",築18年,2階,1LDK,37.13m2,4.45万円,https://suumo.jp/chintai/jnc_000091380279/?bc=100427309713,18,37.13,4.45,12,賀来駅
トレステーラ　プランドールIV,大分県大分市竹の上,南大分駅,ＪＲ久大本線/南大分駅 歩6分,築9年,5階,1DK,29.69m2,4.7万円,https://suumo.jp/chintai/jnc_000099502745/?bc=100444768244,9,29.69,4.7,6,南大分駅
コンフォールコートＣ,大分県大分市浜中,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩5分
ＪＲ日豊本線/大在駅 バス9分 (バス停)坂の市 歩8分
ＪＲ日豊本線/大分駅 バス44分 (バス停)坂の市 歩8分",築22年,2階,2LDK,51.67m2,4.5万円,https://suumo.jp/chintai/jnc_000094164980/?bc=100410005592,22,51.67,4.5,5,坂ノ市駅
ロゼア鶴崎駅前,大分県大分市北鶴崎１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩6分
ＪＲ日豊本線/大在駅 歩43分
ＪＲ日豊本線/高城駅 歩47分",築6年,5階,1LDK,41.6m2,5.3万円,https://suumo.jp/chintai/jnc_000099193187/?bc=100442183504,6,41.6,5.3,6,鶴崎駅
イースト・カズ,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩22分,築17年,2階,1LDK,42.37m2,4.7万円,https://suumo.jp/chintai/jnc_000081501212/?bc=100438850119,17,42.37,4.7,22,牧駅
スターテラス　小池原,大分県大分市大字小池原,高城駅,ＪＲ日豊本線/高城駅 歩22分,築17年,2階,1LDK,44.52m2,4.7万円,https://suumo.jp/chintai/jnc_000014853639/?bc=100431787894,17,44.52,4.7,22,高城駅
ＪＲ日豊本線 大在駅 2階建 築31年,大分県大分市竹下１,大在駅,"ＪＲ日豊本線/大在駅 歩8分
ＪＲ日豊本線/坂ノ市駅 バス8分 (バス停)平野 歩5分
ＪＲ日豊本線/大分駅 バス39分 (バス停)平野 歩5分",築31年,2階,2LDK,54.34m2,5万円,https://suumo.jp/chintai/jnc_000099397802/?bc=100444067618,31,54.34,5.0,8,大在駅
プロムナードＳ．Ｔ　III,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩12分,築8年,2階,2LDK,58.93m2,6.35万円,https://suumo.jp/chintai/jnc_000099331528/?bc=100443411690,8,58.93,6.35,12,賀来駅
クレールメゾン　Ｂ,大分県大分市坂ノ市西２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩18分
ＪＲ日豊本線/大在駅 歩49分
ＪＲ日豊本線/鶴崎駅 歩94分",築22年,2階,2LDK,53.59m2,5.6万円,https://suumo.jp/chintai/jnc_000096780777/?bc=100429066525,22,53.59,5.6,18,坂ノ市駅
プレミール８番館,大分県大分市大字羽田,滝尾駅,"ＪＲ豊肥本線/滝尾駅 歩20分
大分バス/羽田入口 歩1分",築20年,3階,1LDK,44.8m2,5.3万円,https://suumo.jp/chintai/jnc_000059184423/?bc=100443583303,20,44.8,5.3,20,滝尾駅
メゾン　エトワールII,大分県大分市小中島２,鶴崎駅,ＪＲ日豊本線/鶴崎駅 歩19分,築18年,2階,2DK,40.45m2,4.55万円,https://suumo.jp/chintai/jnc_000097686240/?bc=100434107463,18,40.45,4.55,19,鶴崎駅
アルバ０７,大分県大分市賀来西２,賀来駅,ＪＲ久大本線/賀来駅 歩13分,築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000085706600/?bc=100439720995,19,61.6,6.6,13,賀来駅
ＪＲ久大本線 賀来駅 2階建 築19年,大分県大分市賀来西２,賀来駅,"ＪＲ久大本線/賀来駅 歩13分
ＪＲ日豊本線/大分駅 バス23分 (バス停)下角の前 歩5分",築19年,2階,2LDK,61.6m2,6.6万円,https://suumo.jp/chintai/jnc_000098882730/?bc=100444067646,19,61.6,6.6,13,賀来駅
サンライト才賀　II,大分県大分市賀来北１,賀来駅,ＪＲ久大本線/賀来駅 歩11分,築7年,2階,1LDK,44.66m2,5.5万円,https://suumo.jp/chintai/jnc_000099560376/?bc=100439721020,7,44.66,5.5,11,賀来駅
アクシオンIII,大分県大分市東浜１,牧駅,ＪＲ日豊本線/牧駅 歩25分,築14年,3階,1LDK,44.8m2,5.5万円,https://suumo.jp/chintai/jnc_000099457248/?bc=100444038644,14,44.8,5.5,25,牧駅
ウィンディア高木,大分県大分市徳島３,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩17分
ＪＲ日豊本線/大在駅 歩48分",築30年,2階,2LDK,52.84m2,4.3万円,https://suumo.jp/chintai/jnc_000098030293/?bc=100444444070,30,52.84,4.3,17,鶴崎駅
フォルトゥーナ横尾A・B　B棟,大分県大分市横尾東町３,,-/大分バス　中筋 歩3分,築6年,2階,1LDK,42m2,5.7万円,https://suumo.jp/chintai/jnc_000056537547/?bc=100434111539,6,42.0,5.7,3,
グレーシア皆春,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩23分
ＪＲ日豊本線/高城駅 歩35分
ＪＲ日豊本線/牧駅 歩56分",築10年,2階,1LDK,38.32m2,5.1万円,https://suumo.jp/chintai/jnc_000098968922/?bc=100435877252,10,38.32,5.1,23,鶴崎駅
シャーメゾン豊府,大分県大分市羽屋３,古国府駅,"ＪＲ久大本線/古国府駅 歩16分
ＪＲ久大本線/南大分駅 歩23分
ＪＲ日豊本線/大分駅 バス18分 (バス停)南太平寺入口 歩7分",築16年,2階,1LDK,46.07m2,6万円,https://suumo.jp/chintai/jnc_000088693458/?bc=100442340405,16,46.07,6.0,16,古国府駅
ベルエスパス,大分県大分市日岡１,高城駅,"ＪＲ日豊本線/高城駅 歩12分
ＪＲ日豊本線/大分駅 バス22分 (バス停)新高松 歩2分",築12年,2階,1LDK,46.09m2,5.5万円,https://suumo.jp/chintai/jnc_000097679775/?bc=100431426950,12,46.09,5.5,12,高城駅
クレールメゾン　Ｄ,大分県大分市坂ノ市西２,坂ノ市駅,"ＪＲ日豊本線/坂ノ市駅 歩17分
ＪＲ日豊本線/大在駅 歩49分
ＪＲ日豊本線/鶴崎駅 歩94分",築16年,2階,2DK,45.26m2,5.3万円,https://suumo.jp/chintai/jnc_000050934022/?bc=100426530394,16,45.26,5.3,17,坂ノ市駅
Ｓｗｅｅｔ　Ｈｏｍｅ,大分県大分市大字旦野原,大分大学前駅,"ＪＲ豊肥本線/大分大学前駅 歩25分
大分バス/大分大学入口 歩23分",築22年,2階,2DK,46.06m2,4.8万円,https://suumo.jp/chintai/jnc_000088108064/?bc=100385919181,22,46.06,4.8,25,大分大学前駅
サン松山Ｂ,大分県大分市萩原４,牧駅,"ＪＲ日豊本線/牧駅 歩15分
ＪＲ日豊本線/高城駅 バス3分 (バス停)西萩原 歩7分
ＪＲ日豊本線/大分駅 バス19分 (バス停)萩原本町 歩1分",築18年,2階,1LDK,42.37m2,5万円,https://suumo.jp/chintai/jnc_000096843569/?bc=100425361618,18,42.37,5.0,15,牧駅
シャーメゾン昴　Ｅ棟,大分県大分市大字津守,,-/津守新町 歩5分,築22年,2階,3DK,57.81m2,6.05万円,https://suumo.jp/chintai/jnc_000097316971/?bc=100402077360,22,57.81,6.05,5,
グリーンウェーブ,大分県大分市下郡北３,牧駅,"ＪＲ日豊本線/牧駅 歩15分
ＪＲ日豊本線/大分駅 バス15分 (バス停)北下郡 歩5分",築23年,2階,2LDK,54.78m2,6.2万円,https://suumo.jp/chintai/jnc_000098939936/?bc=100443792534,23,54.78,6.2,15,牧駅
モデルノ　カーサ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩13分,築14年,3階,1LDK,55.04m2,5.55万円,https://suumo.jp/chintai/jnc_000099331522/?bc=100443411685,14,55.04,5.55,13,南大分駅
パティオＩＭＯＴＯ,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩11分,築27年,2階,2DK,50.99m2,4.7万円,https://suumo.jp/chintai/jnc_000061344551/?bc=100443937834,27,50.99,4.7,11,滝尾駅
ＪＲ久大本線 南大分駅 2階建 築25年,大分県大分市大字荏隈,南大分駅,"ＪＲ久大本線/南大分駅 歩12分
ＪＲ久大本線/賀来駅 歩22分
ＪＲ日豊本線/大分駅 バス13分 (バス停)中の瀬団地入口 歩1分",築25年,2階,2LDK,54.78m2,5.95万円,https://suumo.jp/chintai/jnc_000098564933/?bc=100444067620,25,54.78,5.95,12,南大分駅
ユーミー奥田,大分県大分市大字荏隈明磧,南大分駅,ＪＲ久大本線/南大分駅 歩16分,築13年,4階,1LDK,41.04m2,5.5万円,https://suumo.jp/chintai/jnc_000099020077/?bc=100440950668,13,41.04,5.5,16,南大分駅
サニーガーデンＡ,大分県大分市大字里,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩28分,築10年,2階,1LDK,45.89m2,4.75万円,https://suumo.jp/chintai/jnc_000097679767/?bc=100430409589,10,45.89,4.75,28,坂ノ市駅
サンシャインシティ2・牧上,大分県大分市大字牧大迫,牧駅,"ＪＲ日豊本線/牧駅 歩8分
ＪＲ日豊本線/高城駅 歩25分
ＪＲ日豊本線/大分駅 歩44分",築7年,2階,1LDK,44.88m2,5.4万円,https://suumo.jp/chintai/jnc_000044344128/?bc=100433052182,7,44.88,5.4,8,牧駅
サンビレッジ皆春,大分県大分市大字皆春,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩12分
ＪＲ日豊本線/高城駅 歩29分
ＪＲ日豊本線/牧駅 歩49分",築32年,2階,3LDK,60.35m2,5.5万円,https://suumo.jp/chintai/jnc_000099516838/?bc=100413156773,32,60.35,5.5,12,鶴崎駅
大滝前田ビルＢ,大分県大分市大字片島,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩13分,築11年,3階,1K,31.65m2,4.7万円,https://suumo.jp/chintai/jnc_000098990622/?bc=100440806067,11,31.65,4.7,13,滝尾駅
ユーミー葵,大分県大分市三佐１,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩24分
ＪＲ日豊本線/高城駅 歩35分
ＪＲ日豊本線/大在駅 歩63分",築15年,3階,1LDK,41.04m2,5.2万円,https://suumo.jp/chintai/jnc_000032992930/?bc=100421404648,15,41.04,5.2,24,鶴崎駅
リヴィエールI・II　I棟,大分県大分市里２,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩13分,築18年,2階,2LDK,59.58m2,6.2万円,https://suumo.jp/chintai/jnc_000098851004/?bc=100428872869,18,59.58,6.2,13,坂ノ市駅
ブルーム千歳,大分県大分市大字千歳,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩31分
ＪＲ日豊本線/大分駅 バス34分 (バス停)桃園団地中 歩3分",築12年,2階,1LDK,40.05m2,4.9万円,https://suumo.jp/chintai/jnc_000044520238/?bc=100407735345,12,40.05,4.9,31,鶴崎駅
第２宗コーポＡ棟,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩26分,築27年,3階,2DK,46.37m2,5万円,https://suumo.jp/chintai/jnc_000091218962/?bc=100385161072,27,46.37,5.0,26,滝尾駅
エスペランササキ　Ａ棟,大分県大分市三佐２,鶴崎駅,"-/海原橋東 歩4分
ＪＲ日豊本線/鶴崎駅 歩19分",築31年,2階,2LDK,54.81m2,5.2万円,https://suumo.jp/chintai/jnc_000080986242/?bc=100441953218,31,54.81,5.2,4,鶴崎駅
ファンタジー２１,大分県大分市大字羽田,滝尾駅,ＪＲ豊肥本線/滝尾駅 歩19分,築28年,2階,2LDK,53.51m2,4.9万円,https://suumo.jp/chintai/jnc_000094601653/?bc=100434345061,28,53.51,4.9,19,滝尾駅
メゾンオーブＣ,大分県大分市大字三佐,鶴崎駅,"ＪＲ日豊本線/鶴崎駅 歩25分
ＪＲ日豊本線/高城駅 歩47分",築11年,2階,1LDK,45.82m2,5.05万円,https://suumo.jp/chintai/jnc_000095531058/?bc=100416010683,11,45.82,5.05,25,鶴崎駅
パシデルマーレ新川,大分県大分市新川町２,大分駅,"ＪＲ久大本線/大分駅 歩25分
ＪＲ豊肥本線/大分駅 歩25分
ＪＲ日豊本線/大分駅 歩25分",築13年,5階,1LDK,39.73m2,5.6万円,https://suumo.jp/chintai/jnc_000081165236/?bc=100444297001,13,39.73,5.6,25,大分駅
メルベーユゆたか　Ａ棟,大分県大分市恵比寿町,坂ノ市駅,ＪＲ日豊本線/坂ノ市駅 歩9分,築27年,2階,3DK,53.76m2,5.1万円,https://suumo.jp/chintai/jnc_000094772055/?bc=100401705625,27,53.76,5.1,9,坂ノ市駅
サニーツユキ,大分県大分市大字荏隈,南大分駅,ＪＲ久大本線/南大分駅 歩14分,築24年,2階,2DK,42.77m2,4.8万円,https://suumo.jp/chintai/jnc_000098553948/?bc=100439016185,24,42.77,4.8,14,南大分駅
